Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJw6WAH6px5kcR6kMesuC0t54,Hôtel Arc Paris Porte d’Orléans,ChIJ5cecEqlx5kcR8qjnX75EcFc,Novotel Paris 14 Porte d'Orleans,1.3061
ChIJr_qt-Zhx5kcROHx0vwNEF00,La compagnie de l'archet et soufflet,ChIJi_FEW11x5kcR90MCGJF_hDk,Bibliothèque Sigmund Freud,1.3063
ChIJLW_xmDVu5kcRSKieA7n2tAY,FNAC Paris - Saint-Lazare,ChIJQQtKZyJu5kcRhXhHvOUt3To,Au Pied de Cochon,1.3068
ChIJGUdK5rly5kcRjntNMRwKUWI,Pavillon Bonsaï,ChIJ-2eJ6rVy5kcRHuO-uzVWbUI,Théâtre de l'Aquarium,1.3078
ChIJSQNTlkNw5kcRWfu-7tXzouU,Emile Decroix Memorial,ChIJqfMoPkdx5kcRwHbQV3cjTcE,Portail Abattoirs,1.3081
ChIJqfMoPkdx5kcRwHbQV3cjTcE,Portail Abattoirs,ChIJSQNTlkNw5kcRWfu-7tXzouU,Emile Decroix Memorial,1.3081
ChIJK8blS2xx5kcRJZcnKL_8ZGg,Centre Documentaire de l'Institut Protestant de Théologie,ChIJ__9PoqJx5kcR1b6CajYxK2Y,Théâtre du fil de la vie,1.3099
ChIJl2Omz4Vx5kcRQkmbM-GjaY0,Théâtre La Cachette Paris,ChIJxRF24Zdx5kcREJd_cWueYhQ,TEAthétcha,1.3104
ChIJHZMvPMdv5kcRAsmP0CfqP24,PARIS,ChIJRwjI7MNv5kcR4xq1C8oLMT4,DOVIDIS,1.3117
ChIJ30n0GTtx5kcR00G1pOUtocM,Table de porphyre rouge - souvenir de l'Exposition universelle de 1937 - don de la Finlande - dans le Parc de Choisy,ChIJNVcdsJVx5kcRMzG5Hntx3_I,Bibliothèque du Saulchoir Pères Dominicains,1.3121
ChIJ33lqz_Bv5kcRPWsIetu0lw0,Librairie Fontaine V.H,ChIJ0b426WBl5kcRkmxxpiJBOW4,Hôtel Le 5 Particulier,1.3133
ChIJe-V2EOtx5kcRkZr9ttacOLI,Five Boutique Hotel Paris Quartier Latin,ChIJGWKSx41x5kcRewWk4RCxhPI,Mairie du 13ᵉ arrondissement de Paris,1.3137
ChIJM-2cvUJx5kcRudbtifN1PhU,Bibliothèque d'égyptologie du Collège de France,ChIJZbPuI3Vx5kcR2gavs5RQg-g,Documental Lendemain,1.314
ChIJTYZMWJlz5kcRZpFxGNhu22Y,Un Livre - un image,ChIJuxxstf9t5kcRMdSFBIZm9xM,Dollfus Veronique,1.314
ChIJsx8zYWhu5kcRMZZPnFbkk4o,Gibert Paris 18 - Barbès,ChIJdX_fLmhu5kcRl1oMrgr_2qc,Best Western Hotel Le Montmartre Saint-Pierre,1.3147
ChIJdX_fLmhu5kcRl1oMrgr_2qc,Best Western Hotel Le Montmartre Saint-Pierre,ChIJsx8zYWhu5kcRMZZPnFbkk4o,Gibert Paris 18 - Barbès,1.3147
ChIJq6pGf3By5kcRiJKkFlItDvA,Librairie Les Champs Magnetiques,ChIJiSf69bdt5kcRcAHD912RV9M,Le Petit Magnolia Café,1.3153
ChIJiSf69bdt5kcRcAHD912RV9M,Le Petit Magnolia Café,ChIJq6pGf3By5kcRiJKkFlItDvA,Librairie Les Champs Magnetiques,1.3153
ChIJ100zJO9x5kcREz4T_lud9ZU,Bibliothèque paroissiale Nathalie Pasternak,ChIJLxfvEvZx5kcRrqFbJf7dH3I,Le Rendez-Vous,1.3163
ChIJuwaA4Q1u5kcRmiOGmWQk4P4,Le Réveil Du 10eme,ChIJ36rMXwNv5kcRBLwqy251nz8,L'Arbre à Café - Martyrs,1.3167
